"","Date","CAName","DailyPositive","FirstInfections","Reinfections"
"1",2022-03-01,"Glasgow City",980,842,138
"2",2022-03-02,"Glasgow City",961,844,117
"3",2022-03-03,"Glasgow City",900,788,112
"4",2022-03-04,"Glasgow City",749,644,105
"5",2022-03-05,"Glasgow City",730,639,91
"6",2022-03-06,"Glasgow City",891,762,129
"7",2022-03-07,"Glasgow City",1220,1062,158
"8",2022-03-08,"Glasgow City",1341,1176,165
"9",2022-03-09,"Glasgow City",1450,1258,192
"10",2022-03-10,"Glasgow City",1162,1006,156
"11",2022-03-11,"Glasgow City",1080,955,125
"12",2022-03-12,"Glasgow City",886,781,105
"13",2022-03-13,"Glasgow City",1091,946,145
"14",2022-03-14,"Glasgow City",1500,1285,215
"15",2022-03-15,"Glasgow City",1488,1251,237
"16",2022-03-16,"Glasgow City",1317,1144,173
"17",2022-03-17,"Glasgow City",1046,915,131
"18",2022-03-18,"Glasgow City",866,737,129
"19",2022-03-19,"Glasgow City",832,726,106
"20",2022-03-20,"Glasgow City",996,875,121
"21",2022-03-21,"Glasgow City",1335,1147,188
"22",2022-03-22,"Glasgow City",1278,1110,168
"23",2022-03-23,"Glasgow City",1211,1050,161
"24",2022-03-24,"Glasgow City",1033,898,135
"25",2022-03-25,"Glasgow City",915,791,124
"26",2022-03-26,"Glasgow City",664,575,89
"27",2022-03-27,"Glasgow City",784,675,109
"28",2022-03-28,"Glasgow City",1041,893,148
"29",2022-03-29,"Glasgow City",1114,952,162
"30",2022-03-30,"Glasgow City",825,696,129
"31",2022-03-31,"Glasgow City",751,638,113
